muestra,x,y,theta
0,1.01182,-0.007881,0.008111
1,1.012861,-0.008578,0.014797
2,1.01157,-0.007802,0.00567
3,1.011168,-0.007392,0.00391
4,1.011775,-0.007761,0.00779
5,1.01201,-0.00754,0.005172
6,1.011775,-0.007761,0.00779
7,1.011775,-0.007761,0.00779
8,1.01201,-0.00754,0.005172
9,1.01201,-0.00754,0.005172
10,1.011775,-0.007761,0.00779
11,1.011168,-0.007392,0.00391
12,1.011829,-0.007713,0.006243
13,1.01201,-0.00754,0.005172
14,1.01201,-0.00754,0.005172
15,1.011071,-0.006995,0.000967
16,1.01157,-0.007802,0.00567
17,1.011597,-0.008092,0.010629
18,1.012015,-0.007837,0.006656
19,1.011257,-0.007654,0.004738
20,1.01201,-0.00754,0.005172
21,1.011775,-0.007761,0.00779
22,1.012015,-0.007837,0.006656
23,1.011746,-0.00771,0.005253
24,1.01201,-0.00754,0.005172
25,1.01155,-0.006809,-0.001516
26,1.010734,-0.007754,0.005975
27,1.011168,-0.007392,0.00391
28,1.01201,-0.00754,0.005172
29,1.010799,-0.00799,0.005501
30,1.012149,-0.007767,0.007676
31,1.011257,-0.007654,0.004738
32,1.01201,-0.00754,0.005172
33,1.010979,-0.007685,0.005673
34,1.01182,-0.007881,0.008111
35,1.01201,-0.00754,0.005172
36,1.012117,-0.007718,0.004727
37,1.01201,-0.00754,0.005172
38,1.01201,-0.00754,0.005172
39,1.011783,-0.008003,0.0078
40,1.011592,-0.007866,0.005453
41,1.010701,-0.007135,0.000661
42,1.01182,-0.007881,0.008111
43,1.011829,-0.007713,0.006243
44,1.012015,-0.007837,0.006656
45,1.011312,-0.006587,-0.005203
46,1.011071,-0.006995,0.000967
47,1.011383,-0.007106,-0.000247
48,1.011746,-0.00771,0.005253
49,1.011877,-0.00729,0.002628
50,1.011592,-0.007866,0.005453
51,1.012015,-0.007837,0.006656
52,1.011746,-0.00771,0.005253
53,1.012015,-0.007837,0.006656
54,1.011257,-0.007654,0.004738
55,1.011818,-0.008155,0.0095
56,1.011746,-0.00771,0.005253
57,1.011693,-0.00828,0.01089
58,1.011877,-0.00729,0.002628
59,1.01087,-0.007581,0.006275
60,1.011418,-0.007782,0.006547
61,1.01201,-0.00754,0.005172
62,1.011874,-0.00812,0.009869
63,1.01201,-0.00754,0.005172
64,1.01201,-0.00754,0.005172
65,1.01201,-0.00754,0.005172
66,1.011231,-0.00711,0.00033
67,1.011133,-0.007745,0.004157
68,1.012015,-0.007837,0.006656
69,1.011052,-0.007823,0.007681
70,1.011071,-0.006995,0.000967
71,1.01159,-0.007193,0.000377
72,1.011877,-0.00729,0.002628
73,1.012015,-0.007837,0.006656
74,1.011775,-0.007761,0.00779
75,1.011746,-0.00771,0.005253
76,1.011378,-0.008284,0.00933
77,1.012015,-0.007837,0.006656
78,1.011052,-0.007823,0.007681
79,1.011418,-0.007782,0.006547
80,1.01201,-0.00754,0.005172
81,1.011775,-0.007761,0.00779
82,1.01195,-0.007247,0.00106
83,1.011209,-0.007036,0.000654
84,1.011383,-0.007106,-0.000247
85,1.011746,-0.00771,0.005253
86,1.01201,-0.00754,0.005172
87,1.011094,-0.007503,0.003455
88,1.011746,-0.00771,0.005253
89,1.01201,-0.00754,0.005172
90,1.010714,-0.007725,0.007149
91,1.011829,-0.007713,0.006243
92,1.012015,-0.007837,0.006656
93,1.01155,-0.006809,-0.001516
94,1.01182,-0.007881,0.008111
95,1.011775,-0.007761,0.00779
96,1.01201,-0.00754,0.005172
97,1.011168,-0.007392,0.00391
98,1.011083,-0.00677,-0.002148
99,1.01201,-0.00754,0.005172
